,ENTIDAD,estado,MUN,NOM_MUN,LOC,nombre,longitud,latitud,pob_total,pob_masculina,pob_femenina
188856,31,Yucatán,32,Espita,1,Espita," 88°18'24.561"" W","21°00'39.789"" N",12320,6195.0,6125.0
98452,16,Michoacán de Ocampo,33,Gabriel Zamora,1,Lombardía,"102°03'14.274"" W","19°09'35.294"" N",12309,5972.0,6337.0
97015,16,Michoacán de Ocampo,12,Buenavista,1,Buenavista Tomatlán,"102°35'16.407"" W","19°12'42.247"" N",12262,6143.0,6119.0
71159,12,Guerrero,39,Juan R. Escudero,1,Tierra Colorada," 99°31'19.369"" W","17°10'08.416"" N",12262,5925.0,6337.0
2040,1,Aguascalientes,11,San Francisco de los Romo,138,La Ribera [Fraccionamiento],"102°14'59.047"" W","21°57'21.519"" N",12162,6039.0,6123.0
105665,17,Morelos,22,Tetela del Volcán,1,Tetela del Volcán," 98°43'48.236"" W","18°53'36.690"" N",12162,5997.0,6165.0
133894,22,Querétaro,6,Corregidora,10,Los Ángeles,"100°29'18.044"" W","20°32'07.488"" N",12151,6050.0,6101.0
161415,28,Tamaulipas,12,González,170,Estación Manuel (Úrsulo Galván)," 98°19'17.296"" W","22°43'44.373"" N",12095,5832.0,6263.0
75373,13,Hidalgo,10,Atitalaquia,2,Cardonal," 99°13'53.747"" W","20°03'38.204"" N",12081,6000.0,6081.0
162038,28,Tamaulipas,15,Gustavo Díaz Ordaz,1,Ciudad Gustavo Díaz Ordaz," 98°35'25.015"" W","26°14'02.280"" N",12067,6033.0,6034.0
188340,31,Yucatán,3,Akil,1,Akil," 89°20'48.572"" W","20°16'01.390"" N",12022,5960.0,6062.0
143378,24,San Luis Potosí,50,Villa de Reyes,1,Villa de Reyes,"100°55'56.949"" W","21°48'11.248"" N",12017,5866.0,6151.0
27477,7,Chiapas,59,Ocosingo,418,Nueva Palestina," 91°15'39.438"" W","16°49'02.629"" N",11984,5849.0,6135.0
113878,19,Nuevo León,45,Salinas Victoria,559,Bosques de los Nogales,"100°16'04.202"" W","25°53'28.848"" N",11980,6141.0,5839.0
39465,7,Chiapas,122,El Parral,1,El Parral," 93°00'24.160"" W","16°21'58.420"" N",11949,5751.0,6198.0
52942,10,Durango,1,Canatlán,1,Canatlán,"104°46'42.145"" W","24°31'38.148"" N",11943,5632.0,6311.0
188317,31,Yucatán,2,Acanceh,1,Acanceh," 89°27'12.768"" W","20°48'44.718"" N",11917,5948.0,5969.0
190169,31,Yucatán,93,Tixkokob,1,Tixkokob," 89°23'42.185"" W","21°00'08.937"" N",11904,5764.0,6140.0
104022,16,Michoacán de Ocampo,103,Venustiano Carranza,1,San Pedro Cahro,"102°39'08.500"" W","20°06'57.507"" N",11897,5630.0,6267.0
19317,7,Chiapas,8,Angel Albino Corzo,1,Jaltenango de la Paz (Ángel Albino Corzo)," 92°43'30.287"" W","15°52'21.520"" N",11875,5677.0,6198.0
32506,7,Chiapas,79,San Fernando,1,San Fernando," 93°12'22.625"" W","16°52'18.163"" N",11867,5832.0,6035.0
144321,25,Sinaloa,1,Ahome,70,Ahome,"109°10'28.912"" W","25°55'13.979"" N",11851,5878.0,5973.0
158222,27,Tabasco,4,Centro,176,Macultepec," 92°51'32.370"" W","18°08'36.413"" N",11848,5726.0,6122.0
167680,29,Tlaxcala,39,Xaloztoc,1,Xaloztoc," 98°02'55.763"" W","19°24'15.049"" N",11838,5897.0,5941.0
110553,19,Nuevo León,14,Doctor Arroyo,1,Doctor Arroyo,"100°10'56.120"" W","23°40'28.890"" N",11822,5710.0,6112.0
105927,17,Morelos,28,Xochitepec,30,Unidad Habitacional José María Morelos y Pavón," 99°15'12.261"" W","18°49'33.706"" N",11805,5712.0,6093.0
100496,16,Michoacán de Ocampo,56,Nahuatzen,1,Nahuatzen,"101°55'01.693"" W","19°39'14.664"" N",11799,5763.0,6036.0
167827,29,Tlaxcala,50,San Francisco Tetlanohcan,1,San Francisco Tetlanohcan," 98°09'48.781"" W","19°15'36.282"" N",11746,5632.0,6114.0
189135,31,Yucatán,50,Mérida,84,Cholul," 89°33'25.187"" W","21°02'34.590"" N",11745,5765.0,5980.0
52346,9,Ciudad de México,9,Milpa Alta,36,Santa Ana Tlacotenco," 98°59'52.083"" W","19°10'33.278"" N",11715,5589.0,6126.0
